district_id,district_num,province_canonical,district_name_2000,admin_type,bps_code,multi_province_flag,notes
JAWA_TENGAH_KEBUMEN,112,JAWA TENGAH,KEBUMEN,,3305,False,
JAWA_TENGAH_KENDAL,113,JAWA TENGAH,KENDAL,,3324,False,
JAWA_TENGAH_KLATEN,114,JAWA TENGAH,KLATEN,,3310,False,
JAWA_TENGAH_KUDUS,115,JAWA TENGAH,KUDUS,,3319,False,
JAWA_TENGAH_MAGELANG_KAB,116,JAWA TENGAH,MAGELANG,kabupaten,3308,False,
JAWA_TENGAH_MAGELANG_KOTA,117,JAWA TENGAH,MAGELANG,kota,3371,False,
JAWA_TENGAH_PATI,118,JAWA TENGAH,PATI,,3318,False,
JAWA_TENGAH_PEKALONGAN_KAB,119,JAWA TENGAH,PEKALONGAN,kabupaten,3326,False,
JAWA_TENGAH_PEKALONGAN_KOTA,120,JAWA TENGAH,PEKALONGAN,kota,3375,False,
JAWA_TENGAH_PEMALANG,121,JAWA TENGAH,PEMALANG,,3327,False,
JAWA_TENGAH_PURBALINGGA,122,JAWA TENGAH,PURBALINGGA,,3303,False,
JAWA_TENGAH_PURWOREJO,123,JAWA TENGAH,PURWOREJO,,3306,False,
JAWA_TENGAH_REMBANG,124,JAWA TENGAH,REMBANG,,3317,False,
JAWA_TENGAH_SALATIGA,125,JAWA TENGAH,SALATIGA,,3373,False,
JAWA_TENGAH_SEMARANG_KAB,126,JAWA TENGAH,SEMARANG,kabupaten,3322,False,
JAWA_TENGAH_SEMARANG_KOTA,127,JAWA TENGAH,SEMARANG,kota,3374,False,
JAWA_TENGAH_SRAGEN,128,JAWA TENGAH,SRAGEN,,3314,False,
JAWA_TENGAH_SUKOHARJO,129,JAWA TENGAH,SUKOHARJO,,3311,False,
JAWA_TENGAH_SURAKARTA,130,JAWA TENGAH,SURAKARTA,,3372,False,
JAWA_TENGAH_TEGAL_KAB,131,JAWA TENGAH,TEGAL,kabupaten,3328,False,
JAWA_TENGAH_TEGAL_KOTA,132,JAWA TENGAH,TEGAL,kota,3376,False,
JAWA_TENGAH_TEMANGGUNG,133,JAWA TENGAH,TEMANGGUNG,,3323,False,
JAWA_TENGAH_WONOGIRI,134,JAWA TENGAH,WONOGIRI,,3312,False,
JAWA_TENGAH_WONOSOBO,135,JAWA TENGAH,WONOSOBO,,3307,False,
JAWA_TIMUR_BANGKALAN,136,JAWA TIMUR,BANGKALAN,,3526,False,
JAWA_TIMUR_BANYUWANGI,137,JAWA TIMUR,BANYUWANGI,,3510,False,
JAWA_TIMUR_BATU,138,JAWA TIMUR,BATU,,3579,False,
JAWA_TIMUR_BLITAR_KAB,139,JAWA TIMUR,BLITAR,kabupaten,3505,False,
JAWA_TIMUR_BLITAR_KOTA,140,JAWA TIMUR,BLITAR,kota,3572,False,
JAWA_TIMUR_BOJONEGORO,141,JAWA TIMUR,BOJONEGORO,,3522,False,
JAWA_TIMUR_BONDOWOSO,142,JAWA TIMUR,BONDOWOSO,,3511,False,
JAWA_TIMUR_GRESIK,143,JAWA TIMUR,GRESIK,,3525,False,
JAWA_TIMUR_JEMBER,144,JAWA TIMUR,JEMBER,,3509,False,
JAWA_TIMUR_JOMBANG,145,JAWA TIMUR,JOMBANG,,3517,False,
JAWA_TIMUR_KEDIRI_KAB,146,JAWA TIMUR,KEDIRI,kabupaten,3506,False,
JAWA_TIMUR_KEDIRI_KOTA,147,JAWA TIMUR,KEDIRI,kota,3571,False,
JAWA_TIMUR_LAMONGAN,148,JAWA TIMUR,LAMONGAN,,3524,False,
JAWA_TIMUR_LUMAJANG,149,JAWA TIMUR,LUMAJANG,,3508,False,
JAWA_TIMUR_MADIUN_KAB,150,JAWA TIMUR,MADIUN,kabupaten,3519,False,
JAWA_TIMUR_MADIUN_KOTA,151,JAWA TIMUR,MADIUN,kota,3577,False,
JAWA_TIMUR_MAGETAN,152,JAWA TIMUR,MAGETAN,,3520,False,
JAWA_TIMUR_MALANG_KAB,153,JAWA TIMUR,MALANG,kabupaten,3507,False,
JAWA_TIMUR_MALANG_KOTA,154,JAWA TIMUR,MALANG,kota,3573,False,
JAWA_TIMUR_MOJOKERTO_KAB,155,JAWA TIMUR,MOJOKERTO,kabupaten,3516,False,
